,Annual energy not supplied [kWh/yr],Annual interrupted power [kW/yr],Annual interruption cost [NOK/yr],Annual interruption duration [min/yr],Annual number of interruptions [/yr],Annual number of partial interruptions [/yr],Average interruption duration [min/interruption]
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0
mean,119.08854166666669,350.0,10870.020970961192,2.4203125,0.10000000000000002,0.10312500000000002,3.025390625
std,231.69783570152833,174.13380098407458,10679.093586221827,5.543287998532768,0.035921060405354976,0.04003526671130294,6.929109998165961
min,1.666666666666667,100.00000000000001,957.8119784857143,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.06250000000000001
25%,5.000000000000001,200.00000000000003,4026.505828002857,0.10000000000000002,0.08750000000000001,0.08750000000000001,0.12500000000000003
50%,12.083333333333334,300.0,8179.970778993258,0.25,0.10000000000000002,0.10000000000000002,0.31250000000000006
75%,89.16666666666667,462.49999999999994,11947.690479500534,1.4000000000000001,0.11250000000000002,0.15,1.7500000000000004
max,943.3333333333335,749.9999999999999,43869.26968775168,28.300000000000004,0.15,0.20000000000000004,35.37500000000001
sum,3810.833333333334,11200.0,347840.67107075814,77.44999999999999,3.2000000000000006,3.3000000000000007,96.81250000000001
