day;agriculture;residential;industry;commercial;public;elind
Monday;1;1;1;1;1;1
Tuesday;1;1;1;1;1;1
Wednesday;1;1;1;1;1;1
Thursday;1;1;1;1;1;1
Friday;1;1;1;1;1;1
Saturday;1,1;1,15;0,13;0,45;0,3;1
Sunday;1,1;1,15;0,14;0,11;0,29;1
