;sourceId;referenceTime;elementId;value;unit;timeOffset
62;SN12680:0;2015-03-04 00:00:00+00:00;mean(air_temperature P1D);-3,1;degC;PT0H
63;SN12680:0;2015-03-05 00:00:00+00:00;mean(air_temperature P1D);-3,5;degC;PT0H
64;SN12680:0;2015-03-06 00:00:00+00:00;mean(air_temperature P1D);1,4;degC;PT0H
65;SN12680:0;2015-03-07 00:00:00+00:00;mean(air_temperature P1D);6,0;degC;PT0H
66;SN12680:0;2015-03-08 00:00:00+00:00;mean(air_temperature P1D);6,7;degC;PT0H
67;SN12680:0;2015-03-09 00:00:00+00:00;mean(air_temperature P1D);3,0;degC;PT0H
68;SN12680:0;2015-03-10 00:00:00+00:00;mean(air_temperature P1D);5,3;degC;PT0H
69;SN12680:0;2015-03-11 00:00:00+00:00;mean(air_temperature P1D);3,2;degC;PT0H
70;SN12680:0;2015-03-12 00:00:00+00:00;mean(air_temperature P1D);1,5;degC;PT0H
71;SN12680:0;2015-03-13 00:00:00+00:00;mean(air_temperature P1D);-0,1;degC;PT0H
72;SN12680:0;2015-03-14 00:00:00+00:00;mean(air_temperature P1D);0,5;degC;PT0H
73;SN12680:0;2015-03-15 00:00:00+00:00;mean(air_temperature P1D);-0,3;degC;PT0H
74;SN12680:0;2015-03-16 00:00:00+00:00;mean(air_temperature P1D);1,6;degC;PT0H
75;SN12680:0;2015-03-17 00:00:00+00:00;mean(air_temperature P1D);2,2;degC;PT0H
76;SN12680:0;2015-03-18 00:00:00+00:00;mean(air_temperature P1D);0,7;degC;PT0H
77;SN12680:0;2015-03-19 00:00:00+00:00;mean(air_temperature P1D);-0,9;degC;PT0H
78;SN12680:0;2015-03-20 00:00:00+00:00;mean(air_temperature P1D);0,8;degC;PT0H
79;SN12680:0;2015-03-21 00:00:00+00:00;mean(air_temperature P1D);-1,5;degC;PT0H
80;SN12680:0;2015-03-22 00:00:00+00:00;mean(air_temperature P1D);-0,7;degC;PT0H
81;SN12680:0;2015-03-23 00:00:00+00:00;mean(air_temperature P1D);4,5;degC;PT0H
82;SN12680:0;2015-03-24 00:00:00+00:00;mean(air_temperature P1D);3,7;degC;PT0H
83;SN12680:0;2015-03-25 00:00:00+00:00;mean(air_temperature P1D);-1,0;degC;PT0H
84;SN12680:0;2015-03-26 00:00:00+00:00;mean(air_temperature P1D);-2,0;degC;PT0H
