month;agriculture;residential;industry;services;public;elind
January;1;1;1;1;1;1
Febrary;1,1;1;1;1;1;1
March;1,1;0,9;0,87;1;0,67;1
April;1,1;0,9;0,87;1;0,67;1
May;0,9;0,8;0,87;1;0,67;1
June;0,9;0,7;0,86;1,02;0,51;1
July;0,9;0,6;0,86;1,02;0,51;1
August;0,9;0,6;0,86;1,02;0,51;1
September;1;0,7;0,88;1,06;0,58;1
Oktober;1;0,9;0,88;1,06;0,58;1
November;1,1;0,9;0,88;1,06;0,58;1
December;1,1;1;1;1;1;1
