hour;agriculture;residential;industry;commercial;public;elind
6;0,8;0,65;0,12;0,11;0,43;1
8;1;1,05;1;1;1;1
9;0,9;1,05;1;1;1;1
12;0,9;0,75;1;1;1;1
16;0,7;0,75;1;1;1;1
18;1;1,05;1;1;1;1
20;1;1,05;0,14;0,3;0,31;1
21;0,8;1,05;0,14;0,29;0,31;1
24;0,8;0,8;0,14;0,29;0,31;1
