f_bus;t_bus;br_r;br_x;br_b;rate_A;rate_B;rate_C;tap;shift;br_status
1;2;0.001661672;0.002392807;0.002934925899312567;17.71887976;0;0;0;0;1
2;3;0.001032562;0.00148689;0.0018237612214961692;17.71887976;0;0;0;0;1
3;4;0.001901424;0.001673254;0.0031344949477114456;15.242047110000001;0;0;0;0;1
4;5;0.000495963;0.000436448;0.0008175943491571641;15.242047110000001;0;0;0;0;1
5;7;0.00369231;0.002317895;5.712469587214532e-05;10.936168799999999;0;0;0;0;1
7;9;0.002076683;0.001303664;3.212890705218531e-05;10.936168799999999;0;0;0;0;1
9;12;0.006355423;0.003989698;9.832641517473816e-05;10.936168799999999;0;0;0;0;1
12;26;0.005145026;0.003229856;7.960004590738055e-05;10.936168799999999;0;0;0;0;1
26;33;0.004864072;0.003053484;7.525333292714253e-05;10.936168799999999;0;0;0;0;1
33;37;0.003501872;0.002198345;5.417837965479097e-05;10.936168799999999;0;0;0;0;1
37;40;0.007340441;0.004608056;0.00011356588685468614;10.936168799999999;0;0;0;0;1
40;42;0.008787848;0.005516684;0.00013595909995927768;10.936168799999999;0;0;0;0;1
42;44;0.003728283;0.002340478;5.7681243584717865e-05;10.936168799999999;0;0;0;0;1
44;45;0.0006449;0.000404845;9.977416947099923e-06;10.936168799999999;0;0;0;0;1
45;46;0.005135852;0.003224097;7.945811254860758e-05;10.936168799999999;0;0;0;0;1
46;47;0.008947076;0.005616642;0.00013842255808558068;10.936168799999999;0;0;0;0;1
47;48;0.000915966;0.00057501;1.4171150087404758e-05;10.936168799999999;0;0;0;0;1
48;67;0.003331125;0.002091157;5.1536708060022055e-05;10.936168799999999;0;0;0;0;1
67;68;0.004408058;0.002767215;6.819822079857247e-05;10.936168799999999;0;0;0;0;1
68;69;0.005758556;0.003615008;8.909212936148851e-05;10.936168799999999;0;0;0;0;1
69;70;0.002972676;0.001866136;4.5991049621084206e-05;10.936168799999999;0;0;0;0;1
70;71;0.001954428;0.001226917;3.0237467900583976e-05;10.936168799999999;0;0;0;0;1
71;72;0.003215362;0.002018485;4.9745708342163285e-05;10.936168799999999;0;0;0;0;1
72;73;4.28e-05;2.68e-05;1.9686312927764716e-05;11.24100974;0;0;0;0;1
73;74;6.36e-05;3.98e-05;2.9253493042192427e-05;11.24100974;0;0;0;0;1
74;75;0.003553641;0.001332615;0.0016345347840872597;9.14522826;0;0;0;0;1
75;76;1.16e-06;1.16e-06;0.0;38.06701265;0;0;0;0;1
76;77;3.87e-07;3.87e-07;0.0;38.06701265;0;0;0;0;1
77;78;4.92e-07;4.92e-07;0.0;38.06701265;0;0;0;0;1
78;79;0.005966736;0.002237526;0.0027444633657326897;9.14522826;0;0;0;0;1
79;80;2.88e-05;1.8e-05;1.3246864773822985e-05;11.24100974;0;0;0;0;1
80;81;3.78e-05;2.36e-05;1.7386510015642667e-05;11.24100974;0;0;0;0;1
81;82;0.000747474;0.000467172;0.00034380857638710284;11.24100974;0;0;0;0;1
82;83;0.004589931;0.002881388;7.101202565579051e-05;10.936168799999999;0;0;0;0;1
83;85;0.003602333;0.002261411;5.573263811954924e-05;10.936168799999999;0;0;0;0;1
85;86;0.003529099;0.002215437;5.4599615708781814e-05;10.936168799999999;0;0;0;0;1
86;92;4.36e-07;4.36e-07;0.0;38.06701265;0;0;0;0;1
92;93;4.2e-07;4.2e-07;0.0;38.06701265;0;0;0;0;1
93;94;0.00212315;0.001958245;0.0017445438216035802;14.09889357;0;0;0;0;1
94;95;0.000327931;0.000122974;0.00015083533375501894;9.14522826;0;0;0;0;1
95;96;0.003594039;0.00078497;0.0006602149663509164;6.477870019999999;0;0;0;0;1
4;6;0.000904929;0.000527143;0.000743559473395618;11.812586510000001;0;0;0;0;1
5;8;1.25e-05;7.75e-06;9.532861405801244e-06;11.88879674;0;0;0;0;1
7;10;3.55e-07;3.55e-07;0.0;38.06701265;0;0;0;0;1
7;11;6.94e-07;6.94e-07;0.0;38.06701265;0;0;0;0;1
9;13;0.001362185;0.00051082;0.0006265514059697937;9.14522826;0;0;0;0;1
13;14;0.00305727;0.001146476;0.0014062236898286734;9.14522826;0;0;0;0;1
12;16;0.00091722;0.000422756;9.759997516494921e-06;8.95470268;0;0;0;0;1
16;18;0.007312869;0.003370574;7.78151188138644e-05;8.95470268;0;0;0;0;1
18;19;0.008006715;0.003690374;8.519822781370079e-05;8.95470268;0;0;0;0;1
19;21;0.007656548;0.002508385;0.0014064865685052877;7.62102355;0;0;0;0;1
21;22;1.54e-05;9.55e-06;1.1744485251947134e-05;11.88879674;0;0;0;0;1
22;23;0.004277245;0.000278138;0.000173115454597916;3.08651454;0;0;0;0;1
23;24;0.011070606;0.000719892;0.0004480671531241294;3.08651454;0;0;0;0;1
24;25;5.65e-07;5.65e-07;0.0;38.06701265;0;0;0;0;1
16;17;2.93e-05;1.83e-05;1.3476845065035189e-05;11.24100974;0;0;0;0;1
19;20;3.55e-07;3.55e-07;0.0;38.06701265;0;0;0;0;1
26;27;0.000325116;0.000468167;0.0005742356907265119;17.71887976;0;0;0;0;1
27;28;4.84e-07;4.84e-07;0.0;38.06701265;0;0;0;0;1
28;29;3.57e-07;3.57e-07;0.0;38.06701265;0;0;0;0;1
29;30;0.000547523;0.000119584;0.00010057845199268922;6.477870019999999;0;0;0;0;1
30;31;0.000306296;6.69e-05;5.6265723141407294e-05;6.477870019999999;0;0;0;0;1
31;32;0.000729968;0.001051154;0.0012893049824931728;17.71887976;0;0;0;0;1
33;34;0.007399315;0.003410418;7.873497745771313e-05;8.95470268;0;0;0;0;1
34;35;0.00390229;0.001463359;0.0017948995811889476;9.14522826;0;0;0;0;1
35;36;7.26e-07;7.26e-07;0.0;38.06701265;0;0;0;0;1
37;38;0.00296555;0.001366851;3.155596327494115e-05;8.95470268;0;0;0;0;1
38;39;5.15e-06;3.22e-06;2.3687969994857076e-06;11.24100974;0;0;0;0;1
40;41;0.006356329;0.001388278;0.001167639955173095;6.477870019999999;0;0;0;0;1
42;109;0.003536462;0.001629991;3.763095041230967e-05;8.95470268;0;0;0;0;1
109;110;0.00389529;0.001795378;4.1449184193571334e-05;8.95470268;0;0;0;0;1
110;111;2.97e-05;1.86e-05;1.3660829298004953e-05;11.24100974;0;0;0;0;1
42;43;0.000522201;0.000431498;1.2538954113300047e-05;9.33575385;0;0;0;0;1
43;115;0.003097676;0.002559632;7.43805875934187e-05;9.33575385;0;0;0;0;1
115;118;4.84e-07;4.84e-07;0.0;38.06701265;0;0;0;0;1
43;112;0.003137983;0.002592938;7.53484287569645e-05;9.33575385;0;0;0;0;1
112;113;4.85e-07;4.85e-07;0.0;38.06701265;0;0;0;0;1
112;114;0.012978601;0.005981966;0.00013810330512590055;8.95470268;0;0;0;0;1
45;116;0.001969871;0.000907933;2.0961095558116234e-05;8.95470268;0;0;0;0;1
116;119;0.0018096;0.000834062;1.9255676398082477e-05;8.95470268;0;0;0;0;1
119;122;0.001577958;0.00034464;0.0002898664950138714;6.477870019999999;0;0;0;0;1
122;123;5.91e-05;3.7e-05;2.7183670421282583e-05;11.24100974;0;0;0;0;1
119;121;0.002767996;0.001729997;0.0012731690523084351;11.24100974;0;0;0;0;1
116;124;3.55e-07;3.55e-07;0.0;38.06701265;0;0;0;0;1
119;120;0.004014763;0.000876859;0.000737500794774877;6.477870019999999;0;0;0;0;1
47;49;0.002404525;0.001502828;0.0011059867194540525;11.24100974;0;0;0;0;1
49;52;5e-07;5e-07;0.0;38.06701265;0;0;0;0;1
52;53;0.006660138;0.002181948;0.0012234488233328741;7.62102355;0;0;0;0;1
53;54;0.000813464;0.001171388;0.0014367796783952534;17.71887976;0;0;0;0;1
54;55;0.000679344;0.000978255;0.0011998904116712543;17.71887976;0;0;0;0;1
55;56;4.52e-07;4.52e-07;0.0;38.06701265;0;0;0;0;1
56;57;0.000649836;0.000935764;0.0011477719469941607;17.71887976;0;0;0;0;1
57;58;0.00084086;0.001210839;0.001485167825958411;17.71887976;0;0;0;0;1
58;59;0.000577227;0.000189107;0.00010603499416167728;7.62102355;0;0;0;0;1
