ID;type;Pd;Qd;Gs;Bs;bus_area;Vm;Va;base_kV;zone;Vmax;Vmin
55;1;0.315686649;0.103756731;0;0;0;0.9602789953399734;-0.7879209640581433;22;0;1.06;0.94
56;1;0.0;0.0;0;0;0;0.9602789896652262;-0.7879213059618101;22;0;1.06;0.94
57;1;0.0;0.0;0;0;0;0.9602703330902328;-0.7886067304361818;22;0;1.06;0.94
58;1;0.0;0.0;0;0;0;0.960257601337535;-0.7894302350812162;22;0;1.06;0.94
59;1;0.0;0.0;0;0;0;0.9602498428320132;-0.7894858863265648;22;0;1.06;0.94
60;1;0.0;0.0;0;0;0;0.9602512381894426;-0.7898670930955306;22;0;1.06;0.94
61;1;0.0;0.0;0;0;0;0.9602513766745956;-0.7898760519898831;22;0;1.06;0.94
62;1;0.0;0.0;0;0;0;0.9602513766745956;-0.7898760519898831;22;0;1.06;0.94
63;1;0.0;0.0;0;0;0;0.9602173433147853;-0.7791326149330018;22;0;1.06;0.94
64;1;0.147713084;0.048548859;0;0;0;0.9602167556931532;-0.7791412392891114;22;0;1.06;0.94
65;1;0.0;0.0;0;0;0;0.9601745420168352;-0.779465758750474;22;0;1.06;0.94
66;1;0.032251718;0.010600172;0;0;0;0.9601745402718307;-0.7794658113628524;22;0;1.06;0.94
67;1;0.025001712;0.008217313;0;0;0;0.9597268599419291;-0.7961325858520292;22;0;1.06;0.94
68;1;0.00873254;0.002870124;0;0;0;0.958507584365568;-0.8177470022596912;22;0;1.06;0.94
69;1;0.019565074;0.006430453;0;0;0;0.9569210203808765;-0.8459462908989179;22;0;1.06;0.94
70;1;0.085248477;0.028018617;0;0;0;0.956109307644096;-0.8604193658064887;22;0;1.06;0.94
71;1;0.0;0.0;0;0;0;0.9555966448434555;-0.8696313015235669;22;0;1.06;0.94
72;1;0.0;0.0;0;0;0;0.9548348316276819;-0.883540809607407;22;0;1.06;0.94
73;1;0.455683423;0.149769471;0;0;0;0.9548252961348742;-0.8837160996539206;22;0;1.06;0.94
74;1;0.0;0.0;0;0;0;0.9548147864455051;-0.8839220994946416;22;0;1.06;0.94
75;1;0.0;0.0;0;0;0;0.9542581596074631;-0.8876168031889035;22;0;1.06;0.94
76;1;0.0;0.0;0;0;0;0.9542579506839742;-0.887624181379678;22;0;1.06;0.94
77;1;0.0;0.0;0;0;0;0.9542579125874988;-0.8876256578536006;22;0;1.06;0.94
